transaction_id,timestamp,branch_id,city,account_number,amount,transaction_type,transaction_status,failure_reason
cda48afa-7d48-40e1-9ec8-f866f4dfd588,2025-05-03 14:21:19,DEL-BR3,Delhi,47660296,41978.12,WITHDRAWAL,FAILED,INSUFFICIENT_FUNDS
fb476654-8eb1-4c07-b479-d067467d98c8,2025-05-06 19:05:08,MUM-BR1,Mumbai,24062625,9185.64,WITHDRAWAL,FAILED,TECHNICAL_ERROR
2fe299c3-5d9a-45b5-8485-38bf316678aa,2025-05-07 11:12:48,MUM-BR5,Mumbai,86403875,2541.74,DEPOSIT,FAILED,INSUFFICIENT_FUNDS
6b23bee0-8814-4ea1-8998-f2303993229c,2025-05-07 09:50:17,DEL-BR2,Delhi,75692295,9399.72,DEPOSIT,SUCCESS,
c32ff17d-c954-4f22-a5b4-f84fd4f4280e,2025-05-04 17:46:44,MUM-BR3,Mumbai,81056133,27003.02,WITHDRAWAL,SUCCESS,
6681532e-b9f5-4597-ac26-573873fe54c4,2025-05-03 17:32:34,DEL-BR3,Delhi,26271327,1681.19,WITHDRAWAL,FAILED,TECHNICAL_ERROR
4fb76558-13a7-41dd-bb37-bb7d036ca498,2025-05-04 03:29:13,DEL-BR2,Delhi,77440443,12746.86,WITHDRAWAL,SUCCESS,
a38f517d-4041-450c-b400-7edda5ce31a9,2025-05-07 02:32:10,DEL-BR4,Delhi,74240699,26987.72,WITHDRAWAL,FAILED,INSUFFICIENT_FUNDS
9025fdba-ad91-416a-8863-38513ed046e5,2025-05-05 21:12:07,CHE-BR2,Chennai,94962212,14738.94,WITHDRAWAL,SUCCESS,
e6eaa133-6688-4d51-8b81-84e3068303ba,2025-05-05 10:53:20,DEL-BR4,Delhi,79664042,44379.29,DEPOSIT,FAILED,ACCOUNT_BLOCKED
3ec4c6b0-b819-489a-849c-6e853217f2ac,2025-05-02 14:36:19,MUM-BR5,Mumbai,47725906,12200.97,WITHDRAWAL,FAILED,TECHNICAL_ERROR
21ceb915-cebc-41e2-8f24-4f3ccf9b0b03,2025-05-07 04:30:08,DEL-BR5,Delhi,51333017,23953.79,WITHDRAWAL,SUCCESS,
563b7a8e-70c0-4401-931f-0a0a11bdf77f,2025-05-02 13:10:08,DEL-BR1,Delhi,12362248,11797.95,WITHDRAWAL,FAILED,INSUFFICIENT_FUNDS
ed6e5da6-11b9-4e54-b55c-d6742a597ecd,2025-05-01 08:44:50,MUM-BR3,Mumbai,82811939,46520.1,DEPOSIT,SUCCESS,
5a42a599-f9bd-4a17-ac8c-b9440c925a23,2025-05-01 17:51:20,MUM-BR5,Mumbai,83783551,24666.61,DEPOSIT,FAILED,ACCOUNT_BLOCKED
791b5c1a-2ce6-4a8f-82d6-36d679093991,2025-05-06 07:32:35,DEL-BR1,Delhi,12154990,36904.51,WITHDRAWAL,FAILED,
8106b45c-fd21-46c1-ab1b-d7a6bd2c78b2,2025-05-05 21:48:53,MUM-BR1,Mumbai,27236621,28941.4,DEPOSIT,SUCCESS,
8700385a-ab29-4b14-ae34-04eafc909bc7,2025-05-03 08:17:37,MUM-BR5,Mumbai,92987085,48774.22,WITHDRAWAL,FAILED,ACCOUNT_BLOCKED
3769e599-9f00-4f3c-b6f1-0844a92e659d,2025-05-02 15:36:40,CHE-BR4,Chennai,95264787,28565.63,WITHDRAWAL,SUCCESS,
91c143f6-852f-416b-826b-98c65df0a6fc,2025-05-02 07:27:27,DEL-BR1,Delhi,58779442,32006.91,DEPOSIT,SUCCESS,
a3e89307-f4e1-4141-811b-b98808fef464,2025-05-04 00:06:15,CHE-BR2,Chennai,89081244,5168.56,DEPOSIT,SUCCESS,
b3dff80c-36d7-4f90-bdc5-dabe6e85a489,2025-05-04 05:19:20,MUM-BR3,Mumbai,66018673,15012.06,WITHDRAWAL,SUCCESS,
928a3520-6c53-48fd-b844-16fac346142d,2025-05-06 21:35:59,CHE-BR1,Chennai,51759345,24909.79,WITHDRAWAL,SUCCESS,
1d5320ed-df64-4448-8691-9d0039db191f,2025-05-07 15:27:06,CHE-BR2,Chennai,61918141,23646.48,WITHDRAWAL,SUCCESS,
fdc4585b-0bd9-4e92-9164-b053354ec971,2025-05-01 13:48:47,CHE-BR1,Chennai,24639026,38841.57,DEPOSIT,FAILED,
d7ed3858-9f81-437d-a72c-fc4d12ed133e,2025-05-04 09:14:28,CHE-BR3,Chennai,35460055,458.0,WITHDRAWAL,SUCCESS,
0fea90ea-c9a7-4a4a-b595-613504803215,2025-05-05 16:16:31,CHE-BR5,Chennai,17038302,31568.24,WITHDRAWAL,SUCCESS,
f32541c8-12da-44f2-935c-0d10feb0c7fd,2025-05-03 11:21:37,DEL-BR4,Delhi,86146441,27579.58,DEPOSIT,FAILED,TECHNICAL_ERROR
aae26e16-4c00-443c-a882-ef57c4b5c280,2025-05-05 12:02:45,DEL-BR3,Delhi,16528540,30728.7,WITHDRAWAL,FAILED,
cf25d18c-e94f-4818-a809-2b7ed86cfeef,2025-05-04 10:11:51,DEL-BR1,Delhi,52411481,30182.79,DEPOSIT,SUCCESS,
b884a649-c6cd-4070-b5bc-b1d744678991,2025-05-04 04:16:34,MUM-BR5,Mumbai,63851456,2094.45,DEPOSIT,SUCCESS,
2dbb4411-2ccf-4fa9-aaea-70e8f883f673,2025-05-02 08:53:33,DEL-BR1,Delhi,34951383,4918.39,DEPOSIT,SUCCESS,
fcfe04ce-1ebc-4974-a637-901cd2d8c2ff,2025-05-07 12:05:06,CHE-BR3,Chennai,31737513,18203.24,WITHDRAWAL,SUCCESS,
728b14d8-7be2-42f2-859e-ebeabc41bf7a,2025-05-03 12:55:27,CHE-BR3,Chennai,70724199,29597.64,DEPOSIT,FAILED,
c4946412-47f1-4d1b-93f6-47a5acf31821,2025-05-01 06:55:51,DEL-BR2,Delhi,60325454,12325.65,DEPOSIT,SUCCESS,
c9626d93-df26-4176-9b34-7e8e21dc07f3,2025-05-04 22:05:52,DEL-BR2,Delhi,55926233,38335.32,WITHDRAWAL,SUCCESS,
5849db76-8ba7-4aba-8dac-7f84064f26eb,2025-05-02 05:31:20,MUM-BR3,Mumbai,77259013,37720.77,DEPOSIT,FAILED,INSUFFICIENT_FUNDS
2ebad9d4-9f23-4496-b0e9-1565af36a015,2025-05-01 08:18:41,MUM-BR2,Mumbai,67145653,13186.41,DEPOSIT,FAILED,
439310d9-58f1-45f1-ae71-d720a04f7105,2025-05-01 02:31:47,CHE-BR4,Chennai,47569045,19054.32,WITHDRAWAL,FAILED,TECHNICAL_ERROR
3743a235-7174-4976-abce-9923fc289465,2025-05-07 11:04:23,DEL-BR2,Delhi,77924625,2777.04,DEPOSIT,FAILED,TECHNICAL_ERROR
7b7e1d82-1e18-40a2-9536-ab670b7ad0eb,2025-05-06 05:07:53,DEL-BR4,Delhi,77429968,12120.82,DEPOSIT,SUCCESS,
13c5f59a-69e0-4309-913f-8432a49132d6,2025-05-01 18:04:59,CHE-BR3,Chennai,94559104,19987.22,DEPOSIT,FAILED,
0f329c4b-f37d-42a2-b2f7-e7ca6c6850f6,2025-05-03 09:51:17,MUM-BR5,Mumbai,49710068,16758.25,DEPOSIT,FAILED,
7a3fbb31-dfb9-4a20-9e49-6d86435aff20,2025-05-01 00:38:14,DEL-BR3,Delhi,31086022,29340.42,WITHDRAWAL,SUCCESS,
ddc0c8d9-a2d0-4bbe-a59f-ee9066236ace,2025-05-04 22:40:03,MUM-BR4,Mumbai,58994664,43476.05,DEPOSIT,SUCCESS,
bb48cb13-4826-4bbd-8e0e-cff4ff0c6cd2,2025-05-03 17:30:22,DEL-BR5,Delhi,77063562,3654.88,WITHDRAWAL,FAILED,
c86f0aff-00f8-47cc-bee2-6033e1cf7d3d,2025-05-01 11:00:15,DEL-BR1,Delhi,93978117,11786.85,WITHDRAWAL,FAILED,ACCOUNT_BLOCKED
782beaf7-ab10-4998-a40e-c310e03f654f,2025-05-03 18:52:11,MUM-BR5,Mumbai,65247473,14826.45,WITHDRAWAL,SUCCESS,
c6f2949a-754b-4230-97bf-3803a8c06670,2025-05-03 08:39:34,MUM-BR2,Mumbai,34515944,37784.02,DEPOSIT,FAILED,
380d61af-19ea-4ad3-9014-6feed8fe6371,2025-05-04 00:31:17,DEL-BR3,Delhi,43732908,13348.14,WITHDRAWAL,SUCCESS,
9ffa695c-878c-4a5f-bf79-2bca0673ef45,2025-05-03 16:49:15,CHE-BR1,Chennai,48760760,11979.24,DEPOSIT,FAILED,INSUFFICIENT_FUNDS
ab26c2cc-361e-4b56-94a3-8c6a4766a72c,2025-05-04 13:32:39,CHE-BR2,Chennai,72912493,34331.24,DEPOSIT,FAILED,
e726bed3-5484-4aba-8875-2e6f4b1d0048,2025-05-03 11:30:04,DEL-BR4,Delhi,45506255,5688.86,DEPOSIT,FAILED,TECHNICAL_ERROR
a4843ed0-2046-41eb-a040-4e04da41fbe3,2025-05-01 06:52:46,MUM-BR4,Mumbai,88322164,42708.84,WITHDRAWAL,SUCCESS,
1607f344-3164-4332-9785-c1e9e3a913d9,2025-05-05 03:27:02,MUM-BR1,Mumbai,39124357,21069.13,DEPOSIT,FAILED,TECHNICAL_ERROR
99a9932b-7753-4083-a535-190c7a061a31,2025-05-03 11:03:54,MUM-BR1,Mumbai,10132775,8512.34,WITHDRAWAL,SUCCESS,
9c561d92-6491-4a2f-93ec-f55cbb95faf5,2025-05-01 04:30:04,DEL-BR2,Delhi,50428512,18065.73,DEPOSIT,FAILED,
9b9dcfe9-5d55-4dbe-9d01-808660a679ab,2025-05-06 17:18:46,CHE-BR5,Chennai,30941417,26373.27,WITHDRAWAL,SUCCESS,
aab1ea4f-862d-43e7-a00e-4c937ef9cee6,2025-05-06 14:35:52,DEL-BR1,Delhi,68265170,2186.6,DEPOSIT,SUCCESS,
351b6d82-398d-4226-9ac2-1d8f367fd01f,2025-05-04 07:37:29,DEL-BR5,Delhi,10698315,24512.29,DEPOSIT,FAILED,
5f3347eb-e6c8-484e-add7-58d953da92e2,2025-05-06 09:36:24,CHE-BR3,Chennai,17982400,2616.42,DEPOSIT,SUCCESS,
39f55c38-14ee-46d1-9496-1f9b9f842dce,2025-05-02 00:29:00,CHE-BR3,Chennai,87103560,28959.65,DEPOSIT,SUCCESS,
04ab773c-b1a2-4d01-880b-59a1cbe453a8,2025-05-07 00:41:33,CHE-BR2,Chennai,68922848,39659.02,WITHDRAWAL,FAILED,
6025dc28-d93c-4a62-96c5-12634c101a1a,2025-05-06 17:36:14,MUM-BR1,Mumbai,14942570,29552.76,WITHDRAWAL,FAILED,ACCOUNT_BLOCKED
704f1f12-a3ee-4f74-8f35-b5500a1965a0,2025-05-06 02:31:32,DEL-BR2,Delhi,33760220,42928.81,DEPOSIT,SUCCESS,
